age,c_charge_degree,race,sex,priors_count,days_b_screening_arrest,jail_length_days,out,class
69,Felony,Other,Male,0,-1.0,0,0,0
34,Felony,African-American,Male,0,-1.0,10,0,1
24,Felony,African-American,Male,4,-1.0,1,0,1
44,Misdemeanor,Other,Male,0,0.0,1,0,0
41,Felony,Caucasian,Male,14,-1.0,6,1,1
43,Felony,Other,Male,3,-1.0,0,0,0
39,Misdemeanor,Caucasian,Female,0,-1.0,2,0,0
27,Felony,Caucasian,Male,0,-1.0,1,0,0
23,Misdemeanor,African-American,Male,3,0.0,4,1,1
37,Misdemeanor,Caucasian,Female,0,0.0,0,0,0
41,Felony,African-American,Male,0,-1.0,0,0,0
47,Felony,Caucasian,Female,1,-20.0,14,0,1
31,Felony,African-American,Male,7,22.0,3,0,1
37,Misdemeanor,Hispanic,Male,0,0.0,0,0,0
25,Felony,African-American,Male,3,-1.0,1,1,0
31,Felony,Caucasian,Male,6,-1.0,1,1,1
31,Felony,Caucasian,Male,5,-1.0,1,0,1
64,Felony,African-American,Male,13,-1.0,1,1,1
21,Felony,African-American,Male,1,-1.0,3,1,1
27,Misdemeanor,Caucasian,Male,0,0.0,0,0,1
21,Felony,Caucasian,Female,0,-2.0,1,0,0
24,Felony,Hispanic,Male,1,0.0,0,0,1
43,Misdemeanor,Caucasian,Male,1,-1.0,1,0,0
32,Misdemeanor,Other,Male,0,-1.0,1,0,0
27,Felony,African-American,Male,8,-1.0,17,0,1
26,Felony,African-American,Male,5,-1.0,0,1,1
33,Felony,African-American,Male,0,0.0,37,1,1
30,Felony,Caucasian,Male,9,0.0,44,1,1
32,Felony,African-American,Male,4,-1.0,1,1,1
55,Felony,Caucasian,Male,0,-1.0,2,0,0
49,Felony,Other,Male,7,-1.0,3,0,1
33,Misdemeanor,Caucasian,Female,4,-1.0,11,1,1
24,Misdemeanor,Caucasian,Male,1,0.0,1,0,1
34,Felony,African-American,Male,21,0.0,33,1,1
29,Misdemeanor,Caucasian,Male,0,0.0,-1,0,0
21,Felony,African-American,Female,2,-1.0,79,1,0
51,Misdemeanor,African-American,Male,2,-1.0,1,0,0
29,Misdemeanor,Caucasian,Male,2,-1.0,0,0,1
51,Felony,African-American,Female,7,-1.0,1,0,0
29,Felony,African-American,Male,0,0.0,0,1,1
25,Misdemeanor,Caucasian,Male,9,-1.0,6,1,1
35,Felony,African-American,Male,13,-1.0,0,1,1
49,Misdemeanor,Caucasian,Male,0,0.0,0,0,0
29,Felony,African-American,Male,0,0.0,0,0,0
29,Felony,Caucasian,Male,1,-24.0,0,0,1
28,Felony,Other,Female,0,-1.0,0,0,0
31,Felony,African-American,Male,15,-1.0,135,1,1
24,Felony,African-American,Male,2,-1.0,1,0,1
30,Misdemeanor,Hispanic,Male,0,0.0,23,1,0
49,Misdemeanor,African-American,Male,4,-1.0,0,0,0
53,Felony,Caucasian,Male,8,-13.0,13,1,0
35,Felony,African-American,Male,5,-1.0,0,0,0
27,Felony,African-American,Male,15,-1.0,1,1,1
38,Misdemeanor,Caucasian,Male,4,-1.0,1,0,1
22,Felony,African-American,Male,1,-1.0,1,0,1
29,Felony,African-American,Male,4,-1.0,18,1,1
62,Misdemeanor,Hispanic,Male,0,0.0,-1,0,0
27,Felony,African-American,Male,6,0.0,30,1,1
33,Misdemeanor,Other,Male,0,-1.0,1,0,0
56,Misdemeanor,African-American,Female,0,0.0,3,0,0
45,Felony,Hispanic,Male,6,-1.0,241,0,1
22,Felony,Hispanic,Male,1,-1.0,1,0,0
39,Misdemeanor,African-American,Male,1,-1.0,4,0,0
29,Felony,African-American,Male,5,0.0,1,1,1
27,Felony,Caucasian,Male,1,-1.0,14,1,1
40,Felony,African-American,Male,2,-15.0,3,0,0
22,Misdemeanor,African-American,Male,1,0.0,16,0,1
22,Felony,Caucasian,Male,0,-1.0,57,1,0
26,Felony,African-American,Female,1,-1.0,2,0,1
32,Felony,African-American,Male,0,-1.0,1,0,0
41,Misdemeanor,African-American,Male,1,-1.0,1,0,0
30,Misdemeanor,African-American,Male,8,-1.0,1,1,1
50,Felony,Other,Male,0,-1.0,0,0,1
25,Felony,African-American,Male,14,-1.0,7,1,1
20,Felony,Other,Male,0,-1.0,1,1,1
22,Felony,African-American,Male,2,0.0,30,1,1
35,Misdemeanor,African-American,Female,1,-1.0,0,0,0
36,Felony,African-American,Male,9,0.0,3,1,1
26,Felony,Caucasian,Male,7,0.0,0,1,1
21,Felony,Other,Male,1,0.0,3,1,1
25,Felony,Caucasian,Male,9,-1.0,0,1,1
20,Felony,Caucasian,Female,0,-1.0,0,1,0
39,Felony,Caucasian,Male,2,-2.0,-1,0,1
54,Misdemeanor,Caucasian,Female,0,0.0,0,0,0
44,Misdemeanor,Hispanic,Female,0,-2.0,1,0,0
